Classifier,Cross_Val_Score,Data,Test_Score,Vectorizer,class__alpha,vec__max_df,vec__max_features,vec__min_df,vec__ngram_range,vec__stop_words,vec__token_pattern
MultinomialNB,0.8452538803525466,dflemma2,0.8645297145531119,CountVectorizer,0.6,0.95,,2,"(1, 2)",,\S+
MultinomialNB,0.8460338507136729,dfstem2,0.8626579316799251,CountVectorizer,0.3,0.95,,2,"(1, 2)",,\S+
