Classifier,Cross_Val_Score,Data,Test_Score,Vectorizer,class__base_estimator__alpha,class__n_estimators,vec__max_df,vec__max_features,vec__min_df,vec__ngram_range,vec__stop_words,vec__token_pattern
BaggingClassifier,0.8461898447858981,dflemma2,0.8642957416939635,CountVectorizer,0.3,40,0.95,,2,"(1, 2)",,\S+
BaggingClassifier,0.845799859605335,dfstem2,0.8628919045390735,CountVectorizer,0.3,70,0.95,,2,"(1, 2)",,\S+
